NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1260,대구광역시 수성구 사월동,650,650,0,시지3차서한이다음,84.95,202302,27,"42,000",102동,9,-,-,2018,달구벌대로669길 20-20,-,중개거래,대구 수성구,23.04.28
1261,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,84.575,202302,27,"32,000",101,12,-,-,1992,지범로40길 11,-,중개거래,대구 수성구,23.06.30
1262,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202302,27,"90,000",105동,48,-,-,2019,상록로 15,-,중개거래,대구 수성구 대구 중구,23.03.31
1263,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,171.4714,202302,27,"199,500",104,9,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.08.30
1264,대구광역시 수성구 사월동,650,650,0,시지3차서한이다음,84.95,202302,27,"42,000",-,9,-,-,2018,달구벌대로669길 20-20,20230316,중개거래,대구 수성구,-
1265,대구광역시 수성구 지산동,1200,1200,0,목련,42.66,202302,27,"17,500",4,1,-,-,1986,용학로42길 13,-,중개거래,경북 경산시 대구 수성구,23.05.10
1266,대구광역시 수성구 범물동,670,670,0,우방미진하이츠,59.99,202302,27,"17,400",101,5,-,-,2000,지범로 290,-,중개거래,대구 수성구,23.06.02
1267,대구광역시 수성구 범물동,1372,1372,0,청아타운,134.73,202302,27,"39,000",205,10,-,-,1992,범안로 40,-,중개거래,경기 광명시 대구 수성구,23.06.30
1268,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,84.97,202302,26,"47,000",1106,24,-,-,2006,청수로 213,-,중개거래,대구 수성구,23.04.14
1269,대구광역시 수성구 황금동,365,365,0,캐슬골드파크4단지,116.82,202302,26,"72,000",1402,21,-,-,2006,청수로 261,-,중개거래,대구 수성구,23.05.12
1270,대구광역시 수성구 범어동,2261,2261,0,범어센트레빌,84.9817,202302,26,"109,000",101,12,-,-,2020,청호로 401,-,직거래,-,23.06.28
1271,대구광역시 수성구 범어동,2030,2030,0,래미안수성,134.568,202302,26,"77,000",103,11,-,-,2008,상록로 69,-,중개거래,대구 수성구,23.03.21
1272,대구광역시 수성구 매호동,1075-1,1075,1,태왕하이츠2,84.9886,202302,25,"31,800",102,1,-,-,2001,천을로 170,-,중개거래,대구 수성구,23.03.31
1273,대구광역시 수성구 지산동,1273,1273,0,협화맨션,84.76,202302,25,"26,800",106,8,-,-,1991,지범로22길 23,-,중개거래,대구 수성구,23.03.22
1274,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.993,202302,25,"79,000",104동,26,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.04.28
1275,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.993,202302,25,"82,000",103동,34,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.06.02
1276,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202302,25,"89,990",104동,41,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.05.09
1277,대구광역시 수성구 범어동,2252,2252,0,범어라온프라이빗2차,74.8219,202302,25,"78,000",103,13,-,-,2018,청호로 438,-,중개거래,대구 수성구,23.06.29
1278,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,84.9967,202302,25,"57,500",101,12,-,-,2009,수성로 71,-,중개거래,대구 수성구,23.04.14
1279,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,204.0727,202302,25,"209,000",105,12,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.06.09
1280,대구광역시 수성구 범어동,1266,1266,0,수성태왕아너스,84.8438,202302,25,"37,500",101,18,-,-,2007,들안로77길 30,-,직거래,-,23.02.27
1281,대구광역시 수성구 범어동,906-1,906,1,유림노르웨이숲,84.9902,202302,25,"80,000",105,18,-,-,2006,동대구로50길 37,-,중개거래,대구 수성구,23.05.04
1282,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202302,25,"54,000",101,14,-,-,2020,지범로48길 21,-,중개거래,대구 수성구,23.03.10
1283,대구광역시 수성구 신매동,569,569,0,시지대백신화창신맨션,59.88,202302,25,"19,900",205,7,-,-,1994,고산로 90,-,중개거래,대구 수성구,23.03.21
1284,대구광역시 수성구 만촌동,1483,1483,0,만촌삼정그린코아에듀파크,75.9909,202302,25,"70,000",107,21,-,-,2019,교학로 65,-,중개거래,대구 수성구,23.05.25
